    x    y  z
  105  175  0
 -206  229  4
  -62   68  3
  -58   44  3
 -174  218  4
 -171  200  4
   64  158  0
 -259  237  4
 -210  195  4
  -91  110  3
 -195 -206  1
 -185  220  4
 -177 -179  1
 -208  170  4
 -242 -200  1
  146 -170  2
  135 -114  2
 -170 -202  1
   89  179  0
 -223 -195  1
   87  165  0
  125  219  0
 -164  197  4
 -193 -218  1
 -227  187  4
 -134  240  4
  205 -166  2
  -73  105  3
 -236 -191  1
 -203  190  4
 -131  235  4
 -195 -240  1
   88  199  0
 -188 -211  1
 -170 -200  1
 -208 -191  1
  103  197  0
  128  215  0
 -123   98  3
  166 -118  2
  154  -93  2
  -67   94  3
 -203 -176  1
  214 -140  2
 -257 -162  1
 -242  208  4
   92  179  0
 -231  177  4
 -211 -182  1
  122  227  0
  149  209  0
 -229  241  4
  106 -142  2
 -246 -186  1
  124 -173  2
  -73   82  3
  162 -137  2
   85  185  0
  142 -150  2
 -160 -188  1
 -101   83  3
  169 -171  2
  116  182  0
   66  214  0
 -183  212  4
   66  208  0
  128 -150  2
   82  194  0
 -239  227  4
  111  193  0
 -182 -173  1
 -227 -196  1
 -143   90  3
  -82   51  3
  130  230  0
 -229  232  4
  -89   56  3
 -191  136  4
 -210  156  4
 -166 -197  1
 -104   86  3
 -164 -219  1
  100  197  0
 -190 -196  1
 -238 -197  1
 -181 -198  1
 -166  221  4
  152 -159  2
 -210  237  4
 -214  180  4
 -100   66  3
  100  214  0
   75  181  0
  165 -176  2
  -95   30  3
 -182  180  4
   83  151  0
  156 -167  2
 -117   11  3
  -80   72  3
  -98   83  3
 -242 -216  1
  100  192  0
 -182  224  4
 -198 -169  1
  149  -80  2
  145 -142  2
 -146 -222  1
 -180 -187  1
 -207 -209  1
  145 -130  2
 -199 -197  1
 -196  201  4
  154  210  0
  274  257  0
 -187 -161  1
  110  199  0
  -76   61  3
   45  207  0
   65  216  0
 -110   83  3
 -194 -163  1
   71  201  0
  155 -155  2
  101  215  0
 -217  168  4
  180 -124  2
  150 -155  2
 -190  208  4
  -69   74  3
 -145  176  4
 -205   66  4
  107  209  0
 -145  155  4
  171 -109  2
 -246 -185  1
  154 -165  2
 -126   61  3
 -213 -201  1
  150  183  0
 -230  190  4
 -224  213  4
 -200 -203  1
 -102   85  3
  185 -167  2
  -88   47  3
 -164  226  4
 -195 -188  1
 -143  221  4
 -207  152  4
  174 -191  2
 -215  241  4
 -212 -196  1
 -194  252  4
 -197 -197  1
  174 -172  2
  182 -158  2
  191 -139  2
  158 -131  2
  -46   62  3
 -240 -224  1
 -193  164  4
  166 -176  2
   93  173  0
  -89   88  3
 -183 -152  1
  135 -170  2
  124  242  0
   72  152  0
  133  189  0
 -174  -57  1
  118  159  0
  -53   69  3
 -213 -173  1
 -188  175  4
  111  169  0
  140 -125  2
  138 -146  2
 -213 -213  1
  -47   38  3
  124 -148  2
  -92   28  3
  -92   55  3
  -59   13  3
 -176 -167  1
  122  188  0
 -166 -192  1
  161 -130  2
 -131  195  4
  129 -144  2
 -101  111  3
 -224 -249  1
   36  166  0
 -205 -153  1
 -246 -207  1
   70  -91  0
  162 -140  2
  123  220  0
  149 -179  2
 -194  207  4
 -214  187  4
 -237 -248  1
 -176  221  4
   59  201  0
 -190  205  4
  179 -128  2
  178 -165  2
 -193  217  4
 -166 -212  1
 -237 -162  1
 -169  182  4
 -251 -212  1
  128  175  0
 -164  182  4
  161 -168  2
 -188 -204  1
   51  240  0
 -229 -199  1
  187 -156  2
  -91   55  3
  163 -229  2
 -132   -3  3
 -229  185  4
   92  186  0
  148 -154  2
  -75   53  3
   73  177  0
 -115   98  3
   64  191  0
 -160 -193  1
  134 -125  2
 -233 -235  1
 -203  184  4
  173 -159  2
  145 -154  2
  104  204  0
  199 -116  2
 -162  205  4
 -108    1  3
 -220  208  4
 -202  213  4
  -99   59  3
 -199  205  4
   75  230  0
  207 -127  2
 -212  154  4
  171 -175  2
 -101  107  3
 -182 -173  1
 -207 -195  1
 -209  242  4
  104  249  0
 -215  209  4
  187 -172  2
 -199  215  4
  -68  104  3
 -194 -213  1
 -202 -204  1
  159  196  0
  115  173  0
  167 -161  2
 -221  153  4
 -207  203  4
 -177  209  4
  171 -176  2
 -210 -202  1
  121  178  0
  154  189  0
 -190 -207  1
 -226  210  4
  141 -113  2
  102  203  0
  109  170  0
 -152  189  4
 -208 -216  1
  132 -165  2
  121 -169  2
 -212 -189  1
 -218 -194  1
   94  195  0
 -201  218  4
  -76   99  3
 -215  -32  4
 -186  205  4
 -100  134  3
  143 -148  2
  181 -192  2
 -223 -174  1
  -79   33  3
 -192 -168  1
  136 -195  2
 -188  203  4
 -212 -205  1
  -78   82  3
  -97   66  3
  108 -148  2
   79  184  0
 -238 -239  1
 -224 -213  1
   77  198  0
